open_date,direction,displacement_category,entry_time,pivot_time,flem_time,current_time,label,retrace,pivot_price,flem_price,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,score,pred_top2
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:23:00-05:00,0,-20.02380952380953,21018.75,21039.75,21.0,15600.0,0.5,199.75,4.25,0.4893617021276595,4,47,3.643237691044476e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:23:30-05:00,0,-20.071428571428573,21018.75,21039.75,21.0,15630.0,0.5,200.25,4.171875,0.4791666666666667,4,48,4.8725567202823545e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:24:00-05:00,0,-20.083333333333332,21018.75,21039.75,21.0,15660.0,0.25,200.5,4.091836734693878,0.4693877551020408,4,49,6.552421146048545e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:24:30-05:00,0,-20.238095238095237,21018.75,21039.75,21.0,15690.0,2.75,203.25,4.065,0.46,4,50,8.427838887339486e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:25:00-05:00,0,-20.38095238095238,21018.75,21039.75,21.0,15720.0,3.25,206.5,4.049019607843137,0.4509803921568627,4,51,1.1323238572223245e-10,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:25:30-05:00,0,-19.821428571428573,21018.75,21039.75,21.0,15750.0,11.5,218.0,4.1923076923076925,0.4615384615384615,4,52,1.3739399525139564e-10,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:26:00-05:00,0,-20.011904761904763,21018.75,21039.75,21.0,15780.0,3.75,221.75,4.183962264150943,0.4528301886792453,4,53,2.1864236443408983e-10,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:26:30-05:00,0,-19.857142857142858,21018.75,21039.75,21.0,15810.0,3.0,224.75,4.162037037037037,0.4629629629629629,4,54,3.0569436504545953e-10,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:27:00-05:00,0,-19.988095238095237,21018.75,21039.75,21.0,15840.0,2.75,227.5,4.136363636363637,0.4545454545454545,4,55,4.1633191196224677e-10,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:27:30-05:00,0,-21.511904761904763,21018.75,21039.75,21.0,15870.0,33.0,260.5,4.651785714285714,0.4464285714285714,4,56,3.394322066184742e-10,0
