day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2024-09-06,short,short,2024-09-06 10:01:00-04:00,18731.75,2024-09-06 11:45:30-04:00,18474.25,515.0,1,429.5,win,target,18946.5,18885.0,2024-09-06 09:34:00-04:00,2024-09-06 09:34:00-04:00,2024-09-06 09:36:00-04:00,214.75,18474.0,,,3.4878048780487805,1,False,0.6445892453193665,False
2024-09-09,long,long,2024-09-09 09:42:00-04:00,18660.0,2024-09-09 09:59:00-04:00,18690.75,553.5,9,463.5,win,target,18634.25,18675.0,2024-09-09 09:41:00-04:00,2024-09-09 09:41:00-04:00,2024-09-09 09:41:00-04:00,25.75,18691.0,,,0.6257668711656442,0,False,0.6406431913375854,False
2024-09-09,long,long,2024-09-09 10:25:00-04:00,18634.75,2024-09-09 10:30:00-04:00,18621.0,-495.0,18,486.0,loss,stop,18621.25,18720.5,2024-09-09 10:22:00-04:00,2024-09-09 10:22:00-04:00,2024-09-09 10:25:00-04:00,13.5,18651.0,2024-09-09 10:30:00-04:00,18621.25,0.13350125944584382,0,False,0.6784848511219025,False
2024-09-09,long,short,2024-09-09 11:48:00-04:00,18601.0,2024-09-09 11:50:00-04:00,18612.25,697.5,31,496.0,loss,stop,18609.0,18497.25,2024-09-09 11:42:00-04:00,2024-09-09 11:42:00-04:00,2024-09-09 11:42:00-04:00,8.0,18591.5,2024-09-09 11:50:00-04:00,18609.0,0.06935123042505593,0,False,0.7536826014518738,True
2024-09-09,long,short,2024-09-09 11:52:00-04:00,18614.25,2024-09-09 11:52:30-04:00,18608.0,-562.5,45,495.0,win,target,18619.75,18497.25,2024-09-09 11:51:00-04:00,2024-09-09 11:51:00-04:00,2024-09-09 11:52:00-04:00,5.5,18607.75,,,0.04285714285714286,0,False,0.801003611087799,True
2024-09-09,long,short,2024-09-09 11:56:00-04:00,18625.5,2024-09-09 11:57:00-04:00,18637.5,2400.0,100,500.0,loss,direction_flip,18628.0,18497.25,2024-09-09 11:54:00-04:00,2024-09-09 11:54:00-04:00,2024-09-09 11:56:00-04:00,2.5,18622.5,2024-09-09 11:57:00-04:00,18628.0,0.017208413001912046,1,False,0.779638695716858,True
2024-09-10,long,short,2024-09-10 09:49:00-04:00,18765.75,2024-09-10 09:49:30-04:00,18752.5,-583.0,22,495.0,win,target,18777.0,18736.0,2024-09-10 09:38:00-04:00,2024-09-10 09:38:00-04:00,2024-09-10 09:49:00-04:00,11.25,18752.25,,,0.2682926829268293,0,False,0.9786666631698608,True
2024-09-10,long,short,2024-09-10 09:53:00-04:00,18758.5,2024-09-10 09:54:00-04:00,18773.0,1682.0,58,493.0,loss,stop,18762.75,18722.75,2024-09-10 09:52:00-04:00,2024-09-10 09:52:00-04:00,2024-09-10 09:53:00-04:00,4.25,18753.5,2024-09-10 09:54:00-04:00,18762.75,0.1,1,False,0.9227272748947144,True
2024-09-10,short,long,2024-09-10 10:00:00-04:00,18762.75,2024-09-10 10:01:30-04:00,18776.0,-583.0,22,495.0,win,target,18751.5,18806.25,2024-09-10 09:59:00-04:00,2024-09-10 09:59:00-04:00,2024-09-10 10:00:00-04:00,11.25,18776.25,,,0.2009132420091324,0,False,0.9909090876579285,True
2024-09-10,short,long,2024-09-10 10:04:00-04:00,18778.25,2024-09-10 10:07:00-04:00,18758.5,1027.0,26,494.0,loss,stop,18768.75,18806.25,2024-09-10 10:03:00-04:00,2024-09-10 10:03:00-04:00,2024-09-10 10:04:00-04:00,9.5,18789.75,2024-09-10 10:07:00-04:00,18768.75,0.24666666666666667,0,False,0.6582929849624634,True
2024-09-10,short,long,2024-09-10 10:32:00-04:00,18762.75,2024-09-10 10:33:00-04:00,18749.25,1485.0,55,495.0,loss,stop,18758.25,18789.25,2024-09-10 10:31:00-04:00,2024-09-10 10:31:00-04:00,2024-09-10 10:32:00-04:00,4.5,18768.25,2024-09-10 10:33:00-04:00,18758.25,0.13709677419354838,1,False,0.6406431913375854,True
2024-09-10,long,long,2024-09-10 11:31:00-04:00,18786.0,2024-09-10 11:35:00-04:00,18766.75,-577.5,15,480.0,loss,stop,18770.0,18783.75,2024-09-10 11:30:00-04:00,2024-09-10 11:30:00-04:00,2024-09-10 11:30:00-04:00,16.0,18805.25,2024-09-10 11:35:00-04:00,18770.0,1.1454545454545455,1,False,0.6937386512756347,False
2024-09-10,long,short,2024-09-10 11:42:00-04:00,18741.75,2024-09-10 11:42:30-04:00,18734.0,-573.5,37,499.5,win,target,18748.5,18735.25,2024-09-10 11:41:00-04:00,2024-09-10 11:41:00-04:00,2024-09-10 11:42:00-04:00,6.75,18733.75,,,0.49056603773584906,0,False,0.649124538898468,True
2024-09-10,short,short,2024-09-10 11:45:00-04:00,18733.0,2024-09-10 11:47:00-04:00,18710.5,585.0,13,494.0,win,target,18752.0,18735.25,2024-09-10 11:44:00-04:00,2024-09-10 11:44:00-04:00,2024-09-10 11:44:00-04:00,19.0,18710.25,,,1.1194029850746268,1,False,0.7038786768913269,False
2024-09-11,short,short,2024-09-11 09:38:00-04:00,18839.0,2024-09-11 09:39:00-04:00,18872.25,-997.5,15,495.0,loss,stop,18855.5,18825.25,2024-09-11 09:37:00-04:00,2024-09-11 09:37:00-04:00,2024-09-11 09:38:00-04:00,16.5,18819.25,2024-09-11 09:39:00-04:00,18855.5,0.5371900826446281,0,False,0.839381217956543,False
2024-09-11,long,short,2024-09-11 09:43:00-04:00,18862.75,2024-09-11 09:43:30-04:00,18855.25,-570.0,38,494.0,win,target,18869.25,18808.75,2024-09-11 09:42:00-04:00,2024-09-11 09:42:00-04:00,2024-09-11 09:43:00-04:00,6.5,18855.0,,,0.10330578512396695,0,False,0.9775757551193237,True
2024-09-11,short,short,2024-09-11 09:46:00-04:00,18829.5,2024-09-11 09:47:00-04:00,18800.25,585.0,10,490.0,win,target,18854.0,18808.75,2024-09-11 09:45:00-04:00,2024-09-11 09:45:00-04:00,2024-09-11 09:45:00-04:00,24.5,18800.0,,,0.5359116022099447,0,False,0.7746700406074524,False
2024-09-12,long,long,2024-09-12 09:36:00-04:00,19256.5,2024-09-12 09:38:00-04:00,19285.0,570.0,10,480.0,win,target,19232.5,19281.25,2024-09-12 09:35:00-04:00,2024-09-12 09:35:00-04:00,2024-09-12 09:36:00-04:00,24.0,19285.25,,,0.48717948717948717,0,False,0.8787712335586548,False
2024-09-12,long,long,2024-09-12 09:41:00-04:00,19275.5,2024-09-12 09:48:00-04:00,19221.75,-645.0,6,477.0,loss,direction_flip,19235.75,19289.5,2024-09-12 09:40:00-04:00,2024-09-12 09:40:00-04:00,2024-09-12 09:40:00-04:00,39.75,19323.25,2024-09-12 09:48:00-04:00,19235.75,0.7348837209302326,0,False,0.7204395651817321,False
2024-09-12,short,short,2024-09-12 09:50:00-04:00,19208.5,2024-09-12 09:54:00-04:00,19245.5,-518.0,7,476.0,loss,stop,19242.5,19217.75,2024-09-12 09:49:00-04:00,2024-09-12 09:49:00-04:00,2024-09-12 09:49:00-04:00,34.0,19167.75,2024-09-12 09:54:00-04:00,19242.5,1.3636363636363635,0,False,0.8161394596099854,False
2024-09-12,short,short,2024-09-12 10:02:00-04:00,19255.75,2024-09-12 10:04:00-04:00,19269.0,-424.0,16,488.0,loss,direction_flip,19271.0,19217.75,2024-09-12 09:55:00-04:00,2024-09-12 09:55:00-04:00,2024-09-12 10:01:00-04:00,15.25,19237.5,2024-09-12 10:04:00-04:00,19271.0,0.28169014084507044,0,False,0.6760827541351319,False
2024-09-16,long,short,2024-09-16 09:50:00-04:00,19408.25,2024-09-16 09:53:00-04:00,19421.0,586.5,23,483.0,loss,stop,19418.75,19326.75,2024-09-16 09:49:00-04:00,2024-09-16 09:49:00-04:00,2024-09-16 09:50:00-04:00,10.5,19395.75,2024-09-16 09:53:00-04:00,19418.75,0.11141304347826086,0,False,0.865584421157837,True
2024-09-16,long,short,2024-09-16 09:56:00-04:00,19435.5,2024-09-16 09:57:00-04:00,19450.0,957.0,33,495.0,loss,direction_flip,19443.0,19326.75,2024-09-16 09:55:00-04:00,2024-09-16 09:55:00-04:00,2024-09-16 09:56:00-04:00,7.5,19426.5,2024-09-16 09:57:00-04:00,19443.0,0.06236559139784946,1,False,0.8292264223098755,True
